Site,Sku (Sykes),Sku (Magento),Product Title,Stock,Product Type,Size,Format,Cover,Material,Colour
Consumer,BB4443,4443,Bride to B - Wedding Planner (Script),3301,Planners & Organisers,Large,,Hard Cover,Paper,White
Consumer,BB8663,8663,Busy B - Travel Wallet (Safari Nights),2833,Purses & Wallets,Medium,,,Faux Leather,Navy
Consumer,BB8175,8175,Busy B - Meal Planner (Fashion),2806,Planners & Organisers,Medium,,Soft Cover,Paper,Navy
Consumer,BB7628,7628,Bride to B - Wedding Notes,2803,Stickers & Notes,Small,,Soft Cover,Paper,Pink
Consumer,BB7826,7826,Busy B - Pen & Case (Fashion),2607,Pens & Pencils,Small,,,,Multi
Consumer,BB5006,5006,Bride to B - Wedding Sticky Notes (Script),2380,Stickers & Notes,Small,,,Paper,Pink
Consumer,BB5167,5167,Bride to B - Wedding Wall Planner,2328,Planners & Organisers,Medium,,,Paper,White
Consumer,BB8809,8809,Busy B - Rollerball Pens (Safari Nights),2235,Pens & Pencils,Small,,,Plastic,Multi
Consumer,BB9967,9967,Stylus Pen ,2208,Pens & Pencils,Small,,,Plastic,Blue
Consumer,BB8786,8786,Busy B - Page Markers (Safari Nights),2184,Stickers & Notes,Small,,,Paper,Multi
Consumer,BB9677,9677,Goals Diary ,1991,Diaries,Medium,Week to View,Hard Cover,Faux Leather,Silver
Consumer,BB7604,7604,Bride to B - Wedding Organiser,1877,Planners & Organisers,Large,,Hard Cover,Paper,Pink
Consumer,BB9769,9769,Password Book ,1876,Planners & Organisers,Small,,Hard Cover,Paper,Multi
Consumer,BB9066,9066,Busy B - Busy Life Notebook - A5 Nude,1867,Notebook,Small,,Hard Cover,Faux Leather,Pink
Consumer,BB8687,8687,Busy B - Travel File (Safari Nights),1835,Planners & Organisers,Large,,Hard Cover,Paper,White
Consumer,BB7963,7963,Busy B - Travel Planner (Fashion),1682,Planners & Organisers,Medium,,Soft Cover,Plastic,Navy
Consumer,BB9882,9882,Weekly Planner Pad ,1662,List Pads,Medium,Week to View,,Paper,Blue
Consumer,BB9639,9639,Perfect Planner,1638,Diaries,Medium,Week to View,Hard Cover,Faux Leather,Blue
Consumer,BB8953,8953,Busy B - Busy Life Notebook - A6 Rose Gold,1635,Notebook,Small,,Hard Cover,Faux Leather,Rose Gold
Consumer,BB9608,9608,Family Calendar ,1624,Calendars,Medium,Month to View,,Paper,Multi
Consumer,BB6652,6652,Baby B - Baby Journal (Blue),1525,Planners & Organisers,Large,,Hard Cover,Paper,Blue
Consumer,BB8595,8595,Bride to B - Bridesmaid Planner (Romantic),1508,Planners & Organisers,Medium,,Hard Cover,Faux Leather,Pink
Consumer,BB4467,4467,Bride to B - Bridesmaid Planner (Script),1472,Planners & Organisers,Medium,,Soft Cover,Paper,White
Consumer,BB8700,8700,Busy B - Travel Pouch (Safari Nights),1471,Purses & Wallets,Large,,,Plastic,Clear
Consumer,BB1657,1657,Bride to B - Wedding Sticky Notes (Heart),1464,Stickers & Notes,Small,,,Paper,Multi
